Department Name,Address:,Specification,Brand,Model No,Serial No,Warranty Period,Category
Camp Office Directorate-Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2507918,3 Years,UPS
Camp Office Directorate-Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2507765,3 Years,UPS
Camp Office Directorate-Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2507917,3 Years,UPS
Camp Office Directorate-Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2507766,3 Years,UPS
Camp Office Directorate-Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2507887,3 Years,UPS
Camp Office Directorate-Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2507888,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2507802,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2510317,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071K2504546,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071K2500634,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2506548,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071K2500703,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071K2504545,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071K2500633,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2506547,3 Years,UPS
Government Branch Press Hazratganj,"Printing and Stationary Department, IIIrd Floor, 96, Mahatma Gandhi Marg, Opposite Bhavan Gate No 1 Hazratganj, Lucknow, Uttar Pradesh-226002",BPE UPS 650VA,BPE,BPE650,M0071L2510318,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2508761,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2506583,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2509705,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2508475,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2509639,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2505762,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2505594,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2506914,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2509690,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2500694,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2509197,3 Years,UPS
Government Press Rampur,"Printing and Stationary Department, Tashka, Near Government Polytechnic, Rampur, Uttar Pradesh-244901",BPE UPS 650VA,BPE,BPE650,M0071L2506514,3 Years,UPS
